id,title,url,description,subject_id,topic,duration_minutes,xp_reward,difficulty_level,channel_name,created_at
2,Geometría Euclidiana - Teoremas Básicos,https://www.youtube.com/watch?v=2Vv-BfVoq4g,Teoremas fundamentales de geometría euclidiana,550e8400-e29b-41d4-a716-446655440001,Geometría,15,100,4,MathTube,2025-09-20 01:56:15.424506
11,Literatura Colombiana Moderna,https://www.youtube.com/watch?v=gmBP8JaOmi4,Autores y obras representativas del siglo XX,550e8400-e29b-41d4-a716-446655440002,Literatura,22,130,6,LiteraturaCol,2025-09-20 01:56:29.708111
14,Semántica y Pragmática,https://www.youtube.com/watch?v=7qff2BZLueA,Estudio del significado y uso del lenguaje,550e8400-e29b-41d4-a716-446655440002,Semántica,19,115,5,SemanticaLing,2025-09-20 01:56:29.708111
16,Análisis Textual Avanzado,https://www.youtube.com/watch?v=L_jWHffIx5E,Técnicas de análisis crítico de textos,550e8400-e29b-41d4-a716-446655440002,Análisis Textual,21,125,6,AnalisisTextos,2025-09-20 01:56:29.708111
21,Genética Básica - Mendel,https://www.youtube.com/watch?v=s63N64R2pQY,Leyes de Mendel y herencia genética,550e8400-e29b-41d4-a716-446655440003,Genética,18,105,5,GeneticaSimple,2025-09-20 01:56:43.917292
22,Termodinámica Elemental,https://www.youtube.com/watch?v=1F_iBGS1h5I,Principios básicos de termodinámica,550e8400-e29b-41d4-a716-446655440003,Termodinámica,15,95,4,TermoFisica,2025-09-20 01:56:43.917292
27,Economía Básica - Mercado,https://www.youtube.com/watch?v=3ez10ADR_gM,Principios de oferta y demanda,550e8400-e29b-41d4-a716-446655440004,Economía,15,95,4,EconomiaSimple,2025-09-20 01:56:56.504045
28,Constitución Política Colombia,https://www.youtube.com/watch?v=uZHlLLqhKWQ,Estructura del Estado colombiano,550e8400-e29b-41d4-a716-446655440004,Política,20,120,5,ConstitucionCol,2025-09-20 01:56:56.504045
29,Cultura Precolombina,https://www.youtube.com/watch?v=8MbZaEQyAtk,Civilizaciones indígenas americanas,550e8400-e29b-41d4-a716-446655440004,Cultura,17,105,4,CulturaIndigena,2025-09-20 01:56:56.504045
30,Demografía y Población,https://www.youtube.com/watch?v=WfGMYdalClU,Distribución poblacional en Colombia,550e8400-e29b-41d4-a716-446655440004,Demografía,14,90,3,DemografiaColombia,2025-09-20 01:56:56.504045
31,Conflicto Armado Colombiano,https://www.youtube.com/watch?v=4YKEf-e7Ww8,Causas y consecuencias del conflicto,550e8400-e29b-41d4-a716-446655440004,Historia Contemporánea,22,130,6,ConflictoCol,2025-09-20 01:56:56.504045
32,Globalización y Colombia,https://www.youtube.com/watch?v=WNYemuiAuJk,Impacto de la globalización,550e8400-e29b-41d4-a716-446655440004,Globalización,19,115,5,GlobalizacionCol,2025-09-20 01:56:56.504045
36,Writing Essays in English,https://www.youtube.com/watch?v=f4QZKqdeQf8,Structure and techniques for essay writing,550e8400-e29b-41d4-a716-446655440005,Writing,18,110,5,WritingSkills,2025-09-20 01:57:10.973693
3,Estadística Descriptiva,https://www.youtube.com/watch?v=wKJ9KzGQq0w,Medidas de tendencia central y dispersión,550e8400-e29b-41d4-a716-446655440001,Estadística,18,110,5,EstadisticaFacil,2025-09-20 01:56:15.424506
4,Cálculo Diferencial - Derivadas,https://www.youtube.com/watch?v=WUvTyaaNkzM,Introducción al cálculo diferencial y derivadas,550e8400-e29b-41d4-a716-446655440001,Cálculo,20,120,6,CalculoAvanzado,2025-09-20 01:56:15.424506
5,Trigonometría - Funciones Básicas,https://www.youtube.com/watch?v=iDulhoQ2pro,"Funciones trigonométricas seno, coseno y tangente",550e8400-e29b-41d4-a716-446655440001,Trigonometría,14,95,4,TrigonometriaTotal,2025-09-20 01:56:15.424506
6,Funciones y Gráficas,https://www.youtube.com/watch?v=1xVSKhSLaiE,Representación gráfica de funciones matemáticas,550e8400-e29b-41d4-a716-446655440001,Funciones,16,105,5,GraficasMatematicas,2025-09-20 01:56:15.424506
7,Probabilidad Básica,https://www.youtube.com/watch?v=Zr_xWfThjJ0,Conceptos fundamentales de probabilidad,550e8400-e29b-41d4-a716-446655440001,Probabilidad,13,85,3,ProbabilidadSimple,2025-09-20 01:56:15.424506
8,Números Reales y Operaciones,https://www.youtube.com/watch?v=5twFdkhLwh4,Propiedades de números reales y operaciones básicas,550e8400-e29b-41d4-a716-446655440001,Números Reales,11,80,2,MathBasico,2025-09-20 01:56:15.424506
9,Comprensión Lectora - Técnicas Básicas,https://www.youtube.com/watch?v=KPoeNZZ6H4s,Estrategias para mejorar la comprensión de textos,550e8400-e29b-41d4-a716-446655440002,Comprensión Lectora,15,100,4,LenguajeTotal,2025-09-20 01:56:29.708111
10,Gramática Española - Sintaxis,https://www.youtube.com/watch?v=A8eZxMjU4c8,Análisis sintáctico de oraciones complejas,550e8400-e29b-41d4-a716-446655440002,Gramática,18,110,5,GramaticaEspañola,2025-09-20 01:56:29.708111
13,Comunicación Oral y Escrita,https://www.youtube.com/watch?v=bO8NfTBm7V8,Principios de comunicación efectiva,550e8400-e29b-41d4-a716-446655440002,Comunicación,14,95,3,ComunicacionEfectiva,2025-09-20 01:56:29.708111
12,Redacción y Ensayos,https://www.youtube.com/watch?v=rKnp_H_2W2Q,Técnicas de redacción y estructura de ensayos,550e8400-e29b-41d4-a716-446655440002,Redacción,17,105,4,RedaccionPro,2025-09-20 01:56:29.708111
15,Ortografía y Puntuación,https://www.youtube.com/watch?v=yRzyhVAL69Q,Reglas ortográficas y uso correcto de signos,550e8400-e29b-41d4-a716-446655440002,Ortografía,12,85,3,OrtografiaCorrecta,2025-09-20 01:56:29.708111
17,Biología Celular - La Célula,https://www.youtube.com/watch?v=YFGs5TdmV7w,Estructura y función de la célula eucariota,550e8400-e29b-41d4-a716-446655440003,Biología,16,100,4,BiologiaEducativa,2025-09-20 01:56:43.917292
18,Química Orgánica - Hidrocarburos,https://www.youtube.com/watch?v=JhHMJCUmq28,Estructura y propiedades de los hidrocarburos,550e8400-e29b-41d4-a716-446655440003,Química,19,115,5,QuimicaOrganica,2025-09-20 01:56:43.917292
33,English Grammar - Present Perfect,https://www.youtube.com/watch?v=YEaSxhcns7Y,Master the present perfect tense usage,550e8400-e29b-41d4-a716-446655440005,Grammar,14,90,4,EnglishMaster,2025-09-20 01:57:10.973693
23,Anatomía Humana Básica,https://www.youtube.com/watch?v=xqWJNu-IllM,Sistemas del cuerpo humano,550e8400-e29b-41d4-a716-446655440003,Anatomía,14,90,3,AnatomiaHumana,2025-09-20 01:56:43.917292
19,Física: Mecánica y Energía,https://www.youtube.com/watch?v=Jbp_ks3O_5w,Cinemática y dinámica del movimiento,550e8400-e29b-41d4-a716-446655440003,Física,17,110,5,FisicaTotal,2025-09-20 01:56:43.917292
25,Historia de Colombia - Independencia,https://www.youtube.com/watch?v=3zobBhIiMLs,Proceso de independencia colombiana,550e8400-e29b-41d4-a716-446655440004,Historia,18,110,4,HistoriaColombia,2025-09-20 01:56:56.504045
26,Geografía Física de Colombia,https://www.youtube.com/watch?v=ac9L2DAkYeg,"Relieve, clima y recursos naturales",550e8400-e29b-41d4-a716-446655440004,Geografía,16,100,4,GeografiaColombia,2025-09-20 01:56:56.504045
34,Reading Comprehension Skills,https://www.youtube.com/watch?v=2_hVCLEn3Vc,Improve your reading comprehension strategies,550e8400-e29b-41d4-a716-446655440005,Reading,16,100,4,ReadingPro,2025-09-20 01:57:10.973693
35,Essential Vocabulary ICFES,https://www.youtube.com/watch?v=1_hW8WpwAGY,Key vocabulary for ICFES English test,550e8400-e29b-41d4-a716-446655440005,Vocabulary,12,85,3,VocabularyBuilder,2025-09-20 01:57:10.973693
37,Speaking Practice - Pronunciation,https://www.youtube.com/watch?v=dVlXWJPOaLo,Improve your English pronunciation,550e8400-e29b-41d4-a716-446655440005,Speaking,15,95,4,SpeakingCoach,2025-09-20 01:57:10.973693
20,Ecología: Ecosistemas y Biodiversidad,https://www.youtube.com/watch?v=t6ZIlAiLm9Q,Relaciones entre organismos y ambiente,550e8400-e29b-41d4-a716-446655440003,Ecología,20,120,4,EcologiaVerde,2025-09-20 01:56:43.917292
39,English Conditionals Explained,https://www.youtube.com/watch?v=HLJJUz6I3Pc,"Zero, first, second conditional structures",550e8400-e29b-41d4-a716-446655440005,Grammar,17,105,5,GrammarGuru,2025-09-20 01:57:10.973693
41,Trigonometría - Funciones Básicas,https://www.youtube.com/watch?v=L6tqC6h3k6E,Funciones trigonométricas básicas,550e8400-e29b-41d4-a716-446655440001,Trigonometría,20,120,6,TrigonometriaTotal,2025-09-20 03:28:30.444793
42,Cálculo Diferencial - Derivadas,https://www.youtube.com/watch?v=S0_qX4VJhMQ,Introducción a las derivadas,550e8400-e29b-41d4-a716-446655440001,Cálculo,22,130,7,CalculoFacil,2025-09-20 03:28:30.444793
43,Probabilidad y Combinatoria,https://www.youtube.com/watch?v=uzkc-qNVoOk,Conceptos de probabilidad básica,550e8400-e29b-41d4-a716-446655440001,Probabilidad,16,105,5,ProbabilidadMath,2025-09-20 03:28:30.444793
44,Funciones Matemáticas,https://www.youtube.com/watch?v=3M_5oYU-IsU,Tipos y propiedades de funciones,550e8400-e29b-41d4-a716-446655440001,Funciones,18,110,6,FuncionesMatematicas,2025-09-20 03:28:30.444793
45,Sistemas de Ecuaciones,https://www.youtube.com/watch?v=AuX7nPBqDts,Resolución de sistemas lineales,550e8400-e29b-41d4-a716-446655440001,Álgebra Básica,19,115,6,SistemasAlgebra,2025-09-20 03:28:30.444793
1,Álgebra Básica - Ecuaciones Lineales,https://www.youtube.com/watch?v=TeqRLdEnkxQ,Fundamentos de álgebra y resolución de ecuaciones lineales,550e8400-e29b-41d4-a716-446655440001,Álgebra Básica,12,90,3,ProfeMatematicas,2025-09-20 01:56:15.424506
38,Listening Skills Development,https://www.youtube.com/watch?v=wO0A60_OcEs,Enhance your English listening abilities,550e8400-e29b-41d4-a716-446655440005,Listening,13,90,4,ListeningLab,2025-09-20 01:57:10.973693
40,ICFES English Test Strategy,https://www.youtube.com/watch?v=EHR-9jTarrE,Test-taking strategies for ICFES English,550e8400-e29b-41d4-a716-446655440005,Test Strategy,20,120,5,ICFESPrep,2025-09-20 01:57:10.973693
24,Química: Reacciones y Enlaces Químicos,https://www.youtube.com/watch?v=2ObYjIjAc9c,Tipos de reacciones y balanceamiento,550e8400-e29b-41d4-a716-446655440003,Química,13,85,4,ReaccionesQuim,2025-09-20 01:56:43.917292
