codigo_tema,area_evaluada,tema_principal,canal_sugerido,youtube_url,youtube_video_id,titulo_video,descripcion,duracion_segundos,fecha_publicacion,idioma,tiene_subtitulos,view_count,like_count,nivel_dificultad,proceso_cognitivo,calidad_pedagogica,orden_sugerido,prerequisitos_video,fecha_verificacion,estado_disponibilidad,efectividad_historica,tiempo_promedio_visto,tags_pedagogicos
CN001,Ciencias Naturales,Estructura celular,@educatina,https://www.youtube.com/watch?v=EBjcb2C6RW0,EBjcb2C6RW0,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN002,Ciencias Naturales,Procesos vitales - Respiración celular,@educatina,https://www.youtube.com/watch?v=YefwfJ8IpEI,YefwfJ8IpEI,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN003,Ciencias Naturales,Genética básica - Leyes de Mendel,@educatina,https://www.youtube.com/watch?v=LXXK2l1pdv8,LXXK2l1pdv8,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN004,Ciencias Naturales,Procesos vitales - Fotosíntesis,@educatina,https://www.youtube.com/watch?v=sSYV0FcHbPk,sSYV0FcHbPk,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN005,Ciencias Naturales,Transporte celular,@educatina,https://www.youtube.com/watch?v=yzkohlVwaB8,yzkohlVwaB8,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN006,Ciencias Naturales,Mitosis y división celular,@educatina,https://www.youtube.com/watch?v=2i84JIg7M8Y,2i84JIg7M8Y,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN007,Ciencias Naturales,Meiosis y reproducción sexual,@educatina,https://www.youtube.com/watch?v=4r_bOb7b4iU,4r_bOb7b4iU,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN008,Ciencias Naturales,ADN y síntesis de proteínas,@educatina,https://www.youtube.com/watch?v=CcqbTFMH-7k,CcqbTFMH-7k,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN009,Ciencias Naturales,Evolución y selección natural,@educatina,https://www.youtube.com/watch?v=7rE4Kl_pNxo,7rE4Kl_pNxo,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN010,Ciencias Naturales,Ecología y ecosistemas,@educatina,https://www.youtube.com/watch?v=1F7gm5BHz8I,1F7gm5BHz8I,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN011,Ciencias Naturales,Ciclos biogeoquímicos,@educatina,https://www.youtube.com/watch?v=aBiP0Fu7vvI,aBiP0Fu7vvI,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN012,Ciencias Naturales,Cadenas tróficas y flujo de energía,@educatina,https://www.youtube.com/watch?v=2oQhBYUOaYA,2oQhBYUOaYA,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN013,Ciencias Naturales,Biodiversidad y conservación,@educatina,https://www.youtube.com/watch?v=Vxlg3qxCaVw,Vxlg3qxCaVw,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN014,Ciencias Naturales,Cambio climático y efecto invernadero,@educatina,https://www.youtube.com/watch?v=aGJRiVGmqFI,aGJRiVGmqFI,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN015,Ciencias Naturales,Estructura atómica,@educatina,https://www.youtube.com/watch?v=yOFH0v4lRWo,yOFH0v4lRWo,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN016,Ciencias Naturales,Tabla periódica,@educatina,https://www.youtube.com/watch?v=f8J9pdsNSUk,f8J9pdsNSUk,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN017,Ciencias Naturales,Enlaces químicos,@educatina,https://www.youtube.com/watch?v=2VsVRLOmJGo,2VsVRLOmJGo,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN018,Ciencias Naturales,Reacciones químicas,@educatina,https://www.youtube.com/watch?v=2fXU5xXU_1U,2fXU5xXU_1U,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN019,Ciencias Naturales,Estequiometría,@educatina,https://www.youtube.com/watch?v=o-3QOkqF-iA,o-3QOkqF-iA,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN020,Ciencias Naturales,Soluciones y concentraciones,@educatina,https://www.youtube.com/watch?v=h9g38h_bwOg,h9g38h_bwOg,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN021,Ciencias Naturales,Ácidos y bases - pH,@educatina,https://www.youtube.com/watch?v=7kU6Yp7jQGU,7kU6Yp7jQGU,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN022,Ciencias Naturales,Gases ideales,@educatina,https://www.youtube.com/watch?v=s79qlxGCHdE,s79qlxGCHdE,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN023,Ciencias Naturales,Termoquímica,@educatina,https://www.youtube.com/watch?v=0dFvwx1OxlE,0dFvwx1OxlE,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN024,Ciencias Naturales,Cinética química,@educatina,https://www.youtube.com/watch?v=7mO3d1K2dN0,7mO3d1K2dN0,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN025,Ciencias Naturales,Equilibrio químico,@educatina,https://www.youtube.com/watch?v=26h6Cqx0G7o,26h6Cqx0G7o,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN026,Ciencias Naturales,Química orgánica - Hidrocarburos,@educatina,https://www.youtube.com/watch?v=xWZzUfyHgdQ,xWZzUfyHgdQ,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN027,Ciencias Naturales,Grupos funcionales orgánicos,@educatina,https://www.youtube.com/watch?v=9jBGLJU2Kqk,9jBGLJU2Kqk,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN028,Ciencias Naturales,Vectores - Física,@educatina,https://www.youtube.com/watch?v=vuBBVxaPjQ8,vuBBVxaPjQ8,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN029,Ciencias Naturales,Cinemática - MRU,@educatina,https://www.youtube.com/watch?v=TasrIJdqH_8,TasrIJdqH_8,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN030,Ciencias Naturales,Cinemática - MRUA,@educatina,https://www.youtube.com/watch?v=D3wLM7LHN_M,D3wLM7LHN_M,,,,,es,,,,,,,,,2025-08-17,activo,,,
