codigo_tema;area_evaluada;tema_principal;canal_sugerido;youtube_url;transcript;tema tag;;;;;;;;;;;;;
CN001;Ciencias Naturales;Estructura celular;@unProfesor;https://www.youtube.com/watch?v=PTrOSGYC6BU;;;;;;;;;;;;;;;
CN002;Ciencias Naturales;Procesos vitales - Respiracion celular;@Crash Course en Español;https://www.youtube.com/watch?v=YefwfJ8IpEI&t=126s;;;;;;;;;;;;;;;
CN003;Ciencias Naturales;Genetica basica - Leyes de Mendel;@Es Ciencia ;https://www.youtube.com/watch?v=mYcznTcpKdU;;;;;;;;;;;;;;;
CN004;Ciencias Naturales;Procesos vitales - Fotosintesis;@Es Ciencia ;https://www.youtube.com/watch?v=X2Z-0e5maKw;;;;;;;;;;;;;;;
CN005;Ciencias Naturales;Transporte celular;@Random HD;https://www.youtube.com/watch?v=yzkohlVwaB8&t=76s;;;;;;;;;;;;;;;
CN006;Ciencias Naturales;Mitosis y division celular;@Es Ciencia ;https://www.youtube.com/watch?v=NVvc7cp7pAg;;;;;;;;;;;;;;;
CN007;Ciencias Naturales;Meiosis y reproduccion sexual;@Es Ciencia ;https://www.youtube.com/watch?v=awXSXrnK04s;;;;;;;;;;;;;;;
CN008;Ciencias Naturales;ADN y sintesis de protei­nas;@RaCology;https://www.youtube.com/watch?v=uiCrjZ-0eQk;;;;;;;;;;;;;;;
CN009;Ciencias Naturales;Evolucion y seleccion natural;@Mangel Ciencia;https://www.youtube.com/watch?v=CBAwcRaVzA4;;;;;;;;;;;;;;;
CN010;Ciencias Naturales;Ecologia y ecosistemas;@educatina;https://www.youtube.com/watch?v=YsfZ8ut9-Eo;;;;;;;;;;;;;;;
CN011;Ciencias Naturales;Ciclos biogeoquimicos;@Naturaleza Sabia ;https://www.youtube.com/watch?v=pqUh1SEw5Ig;;;;;;;;;;;;;;;
CN012;Ciencias Naturales;Cadenas traficas y flujo de energi­a;@KhanAcademyEspañol;https://www.youtube.com/watch?v=9N134jd-F3A&t=5s;;;;;;;;;;;;;;;
CN013;Ciencias Naturales;Biodiversidad y conservacion;@EcologíaVerde;https://www.youtube.com/watch?v=IJZuRgvPRb0;;;;;;;;;;;;;;;
CN014;Ciencias Naturales;Cambio climatico y efecto invernadero;@ONU-REDD Ecuador;https://www.youtube.com/watch?v=F-ztU2l46z4;;;;;;;;;;;;;;;
CN015;Ciencias Naturales;Estructura atomica;@Academia Internet;https://www.youtube.com/watch?v=8uvluIhFX9I;;;;;;;;;;;;;;;
CN016;Ciencias Naturales;Tabla periodica;@UBUinvestiga;https://www.youtube.com/watch?v=FqZ3BSeu1d0;;;;;;;;;;;;;;;
CN017;Ciencias Naturales;Enlaces quimicos;@KhanAcademyEspañol;https://www.youtube.com/watch?v=-KPwizRO8Y4;;;;;;;;;;;;;;;
CN018;Ciencias Naturales;Reacciones quimicas;@ARRIBA LA CIENCIA;https://www.youtube.com/watch?v=smlrUR_Uxnk;;;;;;;;;;;;;;;
CN019;Ciencias Naturales;Estequiometri­a;@ARRIBA LA CIENCIA;https://www.youtube.com/watch?v=BJCY3j0SDXw;;;;;;;;;;;;;;;
CN020;Ciencias Naturales;Soluciones y concentraciones;@ARRIBA LA CIENCIA;https://www.youtube.com/watch?v=XKuTp2l0Boc;;;;;;;;;;;;;;;
CN021;Ciencias Naturales;Acidos y bases - pH;@ARRIBA LA CIENCIA;https://www.youtube.com/watch?v=g_qSaJCh3-Q;;;;;;;;;;;;;;;
CN022;Ciencias Naturales;Gases ideales;@Susi Profe;https://www.youtube.com/watch?v=7uWK3GmeGzY;;;;;;;;;;;;;;;
CN023;Ciencias Naturales;Termoqui­mica;@Academia Internet;https://www.youtube.com/watch?v=vpXOV-JloC8;;;;;;;;;;;;;;;
CN024;Ciencias Naturales;Cinetica quimica;@Es Ciencia ;https://www.youtube.com/watch?v=XkeORGE5cOE&t=33s;;;;;;;;;;;;;;;
CN025;Ciencias Naturales;Equilibrio quimico;@ARRIBA LA CIENCIA;https://www.youtube.com/watch?v=GpcblwWnFWk&t=59s;;;;;;;;;;;;;;;
CN026;Ciencias Naturales;Quimica organica - Hidrocarburos;@Academia Grupo Ciencias;https://www.youtube.com/watch?v=4bMWblFCOVU;;;;;;;;;;;;;;;
CN027;Ciencias Naturales;Grupos funcionales organicos;@KhanAcademyEspañol;https://www.youtube.com/watch?v=Sz9S6RUHLKU;;;;;;;;;;;;;;;
CN028;Ciencias Naturales;Vectores - Fisica;@El Traductor de Ingeniería;https://www.youtube.com/watch?v=eXA4806YuqY&t=1217s;;;;;;;;;;;;;;;
CN029;Ciencias Naturales;Cinematica - MRU;@El Traductor de Ingeniería;https://www.youtube.com/watch?v=aDHVXyFXxCE;;;;;;;;;;;;;;;
CN030;Ciencias Naturales;Cinematica - MRUA;@El Traductor de Ingeniería;https://www.youtube.com/watch?v=aDHVXyFXxCE;;;;;;;;;;;;;;;
CN031;Ciencias Naturales;Caida libre;@Susi Profe;https://www.youtube.com/watch?v=awMylIpd3mI;;;;;;;;;;;;;;;
