ID_Pregunta,Área_Evaluada,Competencia,Componente,Proceso_Cognitivo,Tipo_Conocimiento,Nivel_Dificultad,Afirmación,Evidencia,Pregunta,Respuesta_Correcta,Nivel_Desempeño_Esperado,Tiempo_Estimado,Tema_Específico,Grado_Escolar,Periodo_Aplicación,Opcion_A,Opcion_B,Opcion_C,Opcion_D,Requiere_Imagen,Imagen_Pregunta_URL,Imagen_Opcion_A_URL,Imagen_Opcion_B_URL,Imagen_Opcion_C_URL,Imagen_Opcion_D_URL,Puntos_XP,Pista_1,Pista_2,Pista_3,Explicación_Respuesta,Error_Común,Pregunta_con_contexto,Pregunta_Libro,Orden_En_Contexto,Contexto_Requerido,Imagen_Contexto_Comp,Texto_Contexto_Completo,ID_Contexto_Compartido,Ruta_absoluta_Archivo,Nombre_del_Archivo,Índice_Discriminación,Parámetro_IRT_A,Parámetro_IRT_B,Parámetro_IRT_C,Subtema,Estrategia_Discursiva,Tipo_Razonamiento,Complejidad_Cognitiva,Contexto_Aplicación,Tipo_Texto,Género_Textual,Función_Comunicativa,Pensamiento_Matemático,Disciplina_Predominante,Concepto_Científico,Proceso_Científico,Nivel_Representación,Periodo_Histórico,Ámbito_Análisis,Escala_Espacial,Tipo_Fuente,Nivel_MCER,Parte_Prueba,Competencia_Comunicativa,Habilidad_Específica,Distractor_A_Concepto,Distractor_B_Concepto,Distractor_C_Concepto,Frecuencia_Error_A,Frecuencia_Error_B,Frecuencia_Error_C,Concepto_Refuerzo_1,Concepto_Refuerzo_2,Recurso_Sugerido,Tiempo_Estudio_Estimado,Fecha_Creación,Fecha_Actualización,Versión_Item,Banco_Origen,Fecha_Calibración
1,Ciencias Naturales,Conocimientos genéricos,Entorno_vivo,Analizar,Conceptual,Medio,Los ecosistemas mantienen equilibrio mediante interacciones entre factores bióticos y abióticos,Comprende las relaciones ecológicas y los flujos de energía en ecosistemas, ,B,Satisfactorio,3 minutos,Ecosistemas y biodiversidad,11°,2024-2, , , , ,TRUE,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\contexto_Pregunta_21_Preparate_aqui.png,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\Respuesta_A_Pregunta_21_Preparate_aqui.png,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\Respuesta_B_Pregunta_21_Preparate_aqui.png,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\Respuesta_C_Pregunta_21_Preparate_aqui.png,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\Respuesta_D_Pregunta_21_Preparate_aqui.png,15,Observa las relaciones entre organismos,Analiza el flujo de energía,Considera los niveles tróficos,La eliminación de depredadores tope rompe las cadenas alimentarias y permite sobrepoblación de herbívoros,Confundir niveles tróficos con competencia,No,Sí,21,Sí, ,, ,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf,Preparate Aquí Ciencias naturales .pdf,0.42,0.852,-2.381,-1.986,Ecología_ecosistemas,Analítica,Analógico,Analizar,Académico,Continuo_informativo,Expositivo,Explicar,Aleatorio,Biología,Ecología_ecosistemas,Análisis_datos,Macroscópico,Contemporáneo,Ambiental,Regional,Primaria_documento,B2,Núcleo común,Pragmática,Reading_comprehension,A: factores abióticos dominantes,B: control poblacional por depredadores,C: disponibilidad de nutrientes,12,33,20,Cadenas alimentarias,Equilibrio ecológico,Recurso: guía general ICFES,26,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
2,Ciencias Naturales,Conocimientos genéricos,Entorno_físico,Aplicar,Procedimental,Alto,"Las leyes de los gases establecen relaciones entre presión, volumen y temperatura",Aplica las leyes de Boyle para explicar comportamiento de gases bajo presión, ,C,Avanzado,4 minutos,Leyes de los gases,11°,2024-2,La presión ejercida por los libros siempre es la misma y el volumen aumenta.,A mayor número de libros hay mayor presión y el volumen disminuye.,La presión ejercida por los libros siempre es la misma y el volumen disminuye.,A menor número de libros hay mayor presión y el volumen aumenta.,TRUE,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\contexto_Pregunta_22_Preparate_aqui.png,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\Respuesta_A_Pregunta_22_Preparate_aqui.png,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\Respuesta_B_Pregunta_22_Preparate_aqui.png,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\Respuesta_C_Pregunta_22_Preparate_aqui.png,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\Respuesta_D_Pregunta_22_Preparate_aqui.png,20,Identifica las variables del experimento,Recuerda la ley de Boyle,Considera temperatura constante,"Según la ley de Boyle, a temperatura constante, presión y volumen son inversamente proporcionales",Confundir relación directa con inversa en variables,No,Sí,22,Sí, ,, ,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf,Preparate Aquí Ciencias naturales .pdf,0.77,-2.495,2.415,-1.328,Energía_conservación,Comparativa,Lógico_deductivo,Aplicar,Académico,Continuo_informativo,Instructivo,Explicar,Numérico_variacional,Física,Energía_conservación,Experimentación,Macroscópico,Contemporáneo,Científico,Local,Secundaria_académica,B2,Núcleo común,Lingüística,Grammar_usage,A: presión constante malinterpretada,B: relación presión-volumen parcialmente correcta,C: relación presión-volumen invertida,35,32,10,Ley de Boyle,Proporcionalidad inversa,Recurso: guía general ICFES,12,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
3,Ciencias Naturales,Explicación de fenómenos,Entorno_físico,Analizar,Conceptual,Medio,"Las ondas electromagnéticas presentan propiedades características como reflexión, refracción y difracción",Comprende el comportamiento de ondas electromagnéticas en diferentes medios, ,B,Satisfactorio,3 minutos,Ondas y electromagnetismo,11°,2024-2,Propagación en el vacío es la única forma de viaje para estas ondas,Su velocidad y dirección cambian al pasar de un medio a otro,Sus propiedades están relacionadas únicamente con su campo magnético,La energía se transmite únicamente a través de la vibración de un medio físico,TRUE,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\contexto_Pregunta_23_Preparate_aqui.png,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\Respuesta_A_Pregunta_23_Preparate_aqui.png,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\Respuesta_B_Pregunta_23_Preparate_aqui.png,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\Respuesta_C_Pregunta_23_Preparate_aqui.png,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\Respuesta_D_Pregunta_23_Preparate_aqui.png,18,Identifica propiedades de ondas,Relaciona frecuencia y longitud,Analiza el comportamiento en medios,"Las ondas electromagnéticas cambian de velocidad y dirección al pasar por diferentes medios, lo que se conoce como refracción",Confundir reflexión con refracción,No,Sí,23,Sí,\database\seed_dataciencias naturales\imagenes\contexto_ondas.png,,ONDAS_001,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf,Ciencias naturales .pdf,0.64,-2.03,0.032,-1.938,Ondas_electromagnetismo,Comparativa,Espacial,Crear,Científico,Continuo_informativo,Expositivo,Narrar,Geométrico_métrico,Física,Ondas_electromagnetismo,Experimentación,Macroscópico,Contemporáneo,Científico,Local,Secundaria_académica,B2,Núcleo común,Lingüística,Reading_comprehension,A: propagación solo en vacío,B: comportamiento ondulatorio completo,C: propiedades únicamente eléctricas,14,22,12,Propiedades ondulatorias,Espectro electromagnético,Recurso: guía general ICFES,12,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
4,Ciencias Naturales,Uso comprensivo del conocimiento científico,Entorno_físico,Comprender,Conceptual,Alto,"Los equilibrios químicos se modifican según cambios de concentración, presión y temperatura",Comprende el principio de Le Chatelier en equilibrios ácido-base,"Según el equilibrio químico mostrado, adicionar ácido clorhídrico (HCl):",A,Avanzado,4 minutos,Equilibrio químico,11°,2024-2,incrementa la concentración de protones (iones H+) y disminuye el pH.,desplaza el equilibrio hacia la izquierda e incrementa la concentración de protones,incrementa la concentración de protones (iones H+) sin modificar el equilibrio.,disminuye la concentración de protones (iones H+) y desplaza el equilibrio hacia la derecha.,TRUE,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\contexto_Pregunta_24_Preparate_aqui.jpeg, , , , ,22,Identifica efectos del HCl,Relaciona con principio Le Chatelier,Analiza cambios de pH,Agregar HCl aumenta H+ y disminuye pH según equilibrio ácido-base,Confundir dirección del desplazamiento del equilibrio,No,Sí,24,Sí,\database\seed_dataciencias naturales\imagenes\contexto_equilibrio.png,,EQU_001,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf,Ciencias naturales .pdf,0.56,2.391,1.959,-2.468,Reacciones_químicas,Sintética,Concreto,Comprender,Académico,Continuo_informativo,Instructivo,Explicar,Numérico_variacional,Química,Reacciones_químicas,Experimentación,Macroscópico,Contemporáneo,Científico,Local,Secundaria_académica,B2,Núcleo común,Lingüística,Grammar_usage,A: efecto correcto del HCl,B: desplazamiento parcialmente correcto,C: equilibrio no afectado incorrectamente,21,6,29,Principio Le Chatelier,Equilibrios ácido-base,Recurso: guía general ICFES,15,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
5,Ciencias Naturales,Explicación de fenómenos,Entorno_vivo,Analizar,Conceptual,Medio,Los nichos ecológicos definen el papel funcional de las especies en los ecosistemas,Analiza la competencia interespecífica y la partición de recursos,Dos especies de aves que habitan en las copas de los árboles y se alimentan de insectos:,C,Satisfactorio,3 minutos,Nichos ecológicos,11°,2024-2,compiten por el alimento y esto ocasionará que alguna de las dos especies se extinga.,"no pueden vivir en el mismo ecosistema, porque al habitar solamente en las copas de los árboles no habría espacio para las dos especies.","comen insectos, pero al buscarlos en diferentes horas del día pueden convivir en el mismo ecosistema.","son la misma especie, porque tienen características de nicho similares como la fuente de alimento y el hábitat.",TRUE,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\contexto_Pregunta_25_Preparate_aqui.png, , , , ,16,Identifica solapamiento de nichos,Analiza partición temporal,Evalúa coexistencia de especies,La partición temporal de nichos permite la coexistencia al reducir la competencia directa por un recurso,Asumir que especies con nichos similares no pueden coexistir,No,Sí,25,Sí,\database\seed_dataciencias naturales\imagenes\contexto_nichos.png,,NICHO_001,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf,Ciencias naturales .pdf,0.29,0.639,-1.08,-2.276,Ecología_ecosistemas,Deductiva,Abstracto,Analizar,Académico,Continuo_informativo,Expositivo,Explicar,Aleatorio,Biología,Ecología_ecosistemas,Modelamiento,Ecosistémico,Contemporáneo,Ambiental,Local,Primaria_documento,B2,Núcleo común,Pragmática,Reading_comprehension,A: principio de exclusión competitiva,B: limitación espacial,C: partición de recursos,32,5,22,Competencia interespecífica,Partición de nichos,Recurso: guía general ICFES,22,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
6,Ciencias Naturales,Explicación de fenómenos,Entorno_vivo,Comprender,Conceptual,Alto,"El funcionamiento celular depende de organelos que cumplen funciones específicas, como la producción de energía",Comprende la función de las mitocondrias en células con alto requerimiento energético,"Los espermatozoides tienen como función la fecundación de un óvulo. Su estructura es muy sencilla constan de un núcleo, un cuello y un flagelo; éste último de gran utilidad para movilizarse por el aparato reproductor femenino en busca del óvulo. Además del material genético y el flagelo, los espermatozoides cuentan con muy pocos organelos; uno de los cuales es muy abundante. Teniendo en cuenta la función de los espermatozoides, usted podría suponer que el tipo de organelo más abundante en estas células es:",A,Avanzado,3 minutos,Biología celular,11°,2024-2,la mitocondria.,el lisosoma.,el ribosoma.,el núcleo.,FALSE, , , , , ,20,Identifica la función de la célula,Relaciona la función con el organelo,Analiza la demanda energética,"Las mitocondrias son responsables de la producción de energía (ATP), necesaria para el movimiento del flagelo",Confundir la función de las mitocondrias con otros organelos,Sí,Sí,26,Sí,\database\seed_dataciencias naturales\imagenes\contexto_celula.png,,CELULA_001,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf,Ciencias naturales .pdf,0.29,-2.945,2.373,-0.235,Biología_celular,Inductiva,Abstracto,Comprender,Académico,Continuo_informativo,Expositivo,Explicar,Numérico_variacional,Biología,Biología_celular,Modelamiento,Molecular,Contemporáneo,Científico,Microscópico,Secundaria_académica,B2,Núcleo común,Lingüística,Reading_comprehension,A: producción de enzimas digestivas,B: síntesis de proteínas,C: almacenamiento de información genética,35,19,29,Mitocondrias,ATP y energía celular,Recurso: guía general ICFES,24,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
7,Ciencias Naturales,Explicación de fenómenos,Entorno_vivo,Analizar,Conceptual,Medio,Las interacciones entre especies determinan la dinámica de los ecosistemas,Comprende las relaciones ecológicas y su efecto en la supervivencia,"En una relación de mutualismo, los insectos que visitan las flores de una planta la benefician porque:",A,Satisfactorio,3 minutos,Interacciones ecológicas,11°,2024-2,polinizan la planta.,se alimentan de las hojas de la planta.,dispersan los frutos de la planta.,nutren la planta.,TRUE,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\contexto_Pregunta_27_Preparate_aqui.png, , , , ,17,Identifica el tipo de interacción,Relaciona acción con beneficio,Analiza la polinización,"En el mutualismo, ambos organismos se benefician. Los insectos obtienen alimento y la planta se poliniza",Confundir mutualismo con comensalismo o parasitismo,No,Sí,27,Sí,\database\seed_dataciencias naturales\imagenes\contexto_flores.png,,FLOR_001,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf,Ciencias naturales .pdf,0.23,-2.391,-0.665,-1.762,Ecología_poblaciones,Deductiva,Analógico,Aplicar,Familiar,Continuo_informativo,Expositivo,Explicar,Aleatorio,Biología,Ecología_poblaciones,Observación,Ecosistémico,Contemporáneo,Ambiental,Local,Primaria_documento,B2,Núcleo común,Pragmática,Reading_comprehension,A: herbivoría,B: dispersión de semillas,C: nutrición por simbiosis,30,9,16,Mutualismo,Polinización,Recurso: guía general ICFES,18,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
8,Ciencias Naturales,Uso comprensivo del conocimiento científico,Entorno_físico,Evaluar,Conceptual,Alto,El carbón activado puede remover impurezas al retener moléculas orgánicas en su superficie,Evalúa la efectividad del carbón activado en procesos de purificación de agua,La adición de carbón activado al agua de un pozo contaminado con pesticidas orgánicos busca:,A,Avanzado,4 minutos,Purificación de agua,11°,2024-2,prevenir infecciones intestinales.,prevenir la muerte por envenenamiento.,eliminar los contaminantes del agua.,contrarrestar la acción de químicos agrícolas.,TRUE,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\contexto_Pregunta_28_Preparate_aqui.png, , , , ,21,Identifica la función del carbón activado,Relaciona el proceso con la aplicación,Analiza el método de purificación,"El carbón activado funciona por adsorción, reteniendo los contaminantes orgánicos y purificando el agua",Confundir purificación química con desinfección biológica,No,Sí,28,Sí,\database\seed_dataciencias naturales\imagenes\contexto_contaminacion.png,,AGUA_001,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf,Ciencias naturales .pdf,0.72,0.981,-2.935,-0.814,Métodos_de_separación,Inductiva,Abstracto,Evaluar,Familiar,Continuo_informativo,Expositivo,Explicar,Numérico_variacional,Química,Métodos_de_separación,Experimentación,Macroscópico,Contemporáneo,Ambiental,Local,Primaria_documento,B2,Núcleo común,Pragmática,Reading_comprehension,A: desinfección,B: efecto placebo,C: reacción química,13,24,19,Adsorción,Carbón activado,Recurso: guía general ICFES,13,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
9,Ciencias Naturales,Uso comprensivo del conocimiento científico,Entorno_vivo,Analizar,Conceptual,Alto,La resolución de conflictos en especies animales puede ser influenciada por factores como el tamaño,Comprende cómo los costos de un conflicto influyen en la toma de decisiones animales,"Para varias especies de arañas se ha encontrado que los individuos pueden intercambiar señales que le revelan a los oponentes sus posibilidades de ganar. De esta manera se observa que cuando se enfrentan un individuo grande y uno pequeño el conflicto se resuelve mucho más rápido que cuando se enfrentan dos individuos de tamaño similar. De las siguientes gráficas, aquella que representaría mejor la resolución de conflictos en estas arañas es:",D,Avanzado,4 minutos,Comportamiento animal,11°,2024-2, , , , ,FALSE, ,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\Respuesta_A_Pregunta_29_Preparate_aqui.png,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\Respuesta_B_Pregunta_29_Preparate_aqui.png,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\Respuesta_C_Pregunta_29_Preparate_aqui.png,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf\Respuesta_D_Pregunta_29_Preparate_aqui.png,25,Identifica las variables,Interpreta las gráficas,Relaciona la teoría con la representación,La gráfica correcta debe mostrar que el tiempo de conflicto es menor cuando la diferencia de tamaño es grande y mayor cuando el tamaño es similar,Interpretar erróneamente el eje X o Y de la gráfica,Sí,Sí,29,Sí,\database\seed_dataciencias naturales\imagenes\contexto_aranas.png,,ARANA_001,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf,Ciencias naturales .pdf,0.56,-2.97,2.432,0.021,Etología,Inductiva,Espacial,Analizar,Académico,Continuo_informativo,Argumentativo,Explicar,Numérico_variacional,Biología,Etología,Modelamiento,Ecosistémico,Contemporáneo,Científico,Local,Primaria_documento,B2,Núcleo común,Pragmática,Reading_comprehension,A: representación lineal incorrecta,B: relación inversa incorrecta,C: tiempo de conflicto constante,26,15,31,Comportamiento animal,Señalización,Recurso: guía general ICFES,23,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
10,Ciencias Naturales,Explicación de fenómenos,Entorno_vivo,Comprender,Conceptual,Alto,La baja variabilidad genética en poblaciones grandes las hace más susceptibles a enfermedades,Comprende el impacto de la variabilidad genética en la resistencia a enfermedades,"Entre los años de 1845 y 1852, todos los cultivos de papa de la isla de Irlanda fueron destruidos por una enfermedad producida por un hongo. Dos factores contribuyeron a la alta dispersión de la enfermedad: (1) en Irlanda se cultivaba únicamente una variedad de papa y (2) los cultivos de papa se encontraban aislados del resto del mundo, por lo cual se reproducían únicamente entre sí. Desde un punto de vista genético, estos dos factores contribuyeron a la dispersión de la enfermedad, porque:",B,Avanzado,4 minutos,Genética de poblaciones,11°,2024-2,el genoma del hongo se incorporó rápidamente al ADN de las papas y la enfermedad se transmitió genéticamente.,se redujo la variabilidad genética de los cultivos de papa haciéndolos susceptibles a la epidemia.,"ocasionaron un aumento en el número de cromosomas de las papas cultivadas, haciéndolas susceptibles a la epidemia.",produjeron una alta variabilidad genética generando plantas de papa muy diferentes entre sí y susceptibles a la epidemia.,FALSE, , , , , ,25,Identifica las variables genéticas,Relaciona la baja diversidad con la susceptibilidad,Analiza el contexto histórico,"La falta de variabilidad genética en la población de papas significó que no había individuos resistentes, lo que permitió que la enfermedad se dispersara rápidamente",Confundir la variabilidad genética con el número de cromosomas o la transmisión genética del patógeno,Sí,Sí,30,Sí,\database\seed_dataciencias naturales\imagenes\contexto_papas.png,,PAPA_001,\database\seed_dataciencias naturales\imagenes\Ciencias naturales .pdf,Ciencias naturales .pdf,0.62,-2.035,-2.452,1.142,Genética_evolución,Deductiva,Espacial,Comprender,Académico,Continuo_informativo,Argumentativo,Explicar,Aleatorio,Biología,Genética_evolución,Análisis_datos,Poblacional,Contemporáneo,Científico,Regional,Secundaria_académica,B2,Núcleo común,Lingüística,Reading_comprehension,A: transmisión de patógenos,B: aumento de la ploidía,C: efecto de la variabilidad,23,14,30,Variabilidad genética,Efecto del cuello de botella,Recurso: guía general ICFES,14,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
