subject_id,subject_name,unit_number,unit_name,unit_description,topics,recommendations_priority,weak_areas,focus_topics,study_time,difficulty_level,icfes_weight,estimated_hours
550e8400-e29b-41d4-a716-446655440001,Matemáticas,1,"Fundamentos Algebraicos","Domina las bases del álgebra necesarias para el ICFES","Ecuaciones lineales|Sistemas de ecuaciones|Inecuaciones|Factorización",high,"ecuaciones básicas|despeje de variables","álgebra básica|ecuaciones",3-4 horas,1,0.3,4
550e8400-e29b-41d4-a716-446655440001,Matemáticas,2,"Geometría y Trigonometría","Aplica conceptos geométricos y trigonométricos","Triángulos|Círculos|Teorema de Pitágoras|Funciones trigonométricas",medium,"área y perímetro|ángulos","geometría|trigonometría",4-5 horas,2,0.25,5
550e8400-e29b-41d4-a716-446655440001,Matemáticas,3,"Funciones y Gráficas","Interpreta y analiza funciones matemáticas","Funciones lineales|Funciones cuadráticas|Gráficas|Dominios",medium,"interpretación gráfica|dominios","funciones|análisis gráfico",3-4 horas,3,0.2,4
550e8400-e29b-41d4-a716-446655440001,Matemáticas,4,"Estadística y Probabilidad","Analiza datos y calcula probabilidades","Medidas de tendencia|Probabilidad básica|Combinatoria|Distribuciones",high,"interpretación estadística|probabilidad","estadística|análisis de datos",4-5 horas,2,0.25,5
550e8400-e29b-41d4-a716-446655440002,Lenguaje,1,"Comprensión Lectora Básica","Desarrolla habilidades de comprensión de textos","Idea principal|Ideas secundarias|Estructura textual|Vocabulario",high,"identificación de ideas|vocabulario","comprensión|lectura crítica",3-4 horas,1,0.35,4
550e8400-e29b-41d4-a716-446655440002,Lenguaje,2,"Análisis Textual","Analiza diferentes tipos de textos","Textos narrativos|Textos expositivos|Textos argumentativos|Cohesión",medium,"estructura textual|coherencia","análisis|tipología textual",4-5 horas,2,0.3,5
550e8400-e29b-41d4-a716-446655440002,Lenguaje,3,"Competencia Comunicativa","Mejora la expresión y comunicación","Gramática|Sintaxis|Semántica|Pragmática",medium,"uso del lenguaje|contexto","comunicación|expresión",3-4 horas,2,0.2,4
550e8400-e29b-41d4-a716-446655440002,Lenguaje,4,"Literatura y Cultura","Conoce literatura y contextos culturales","Géneros literarios|Movimientos|Autores|Contexto histórico",low,"interpretación literaria|contexto","literatura|cultura",2-3 horas,3,0.15,3
550e8400-e29b-41d4-a716-446655440003,Ciencias Naturales,1,"Mecánica y Movimiento","Comprende las leyes del movimiento","Cinemática|Dinámica|Trabajo y energía|Momentum",high,"fuerzas|movimiento","física|mecánica",4-5 horas,2,0.3,5
550e8400-e29b-41d4-a716-446655440003,Ciencias Naturales,2,"Termodinámica y Ondas","Estudia calor, temperatura y ondas","Calor|Temperatura|Ondas mecánicas|Sonido",medium,"transferencia de calor|ondas","termodinámica|acústica",3-4 horas,2,0.25,4
550e8400-e29b-41d4-a716-446655440003,Ciencias Naturales,3,"Química Fundamental","Domina conceptos químicos básicos","Átomos|Moléculas|Reacciones|Tabla periódica",high,"estructura atómica|reacciones","química|enlaces",4-5 horas,2,0.25,5
550e8400-e29b-41d4-a716-446655440003,Ciencias Naturales,4,"Biología Celular","Conoce la vida a nivel celular","Célula|Organelos|Metabolismo|Genética",medium,"función celular|herencia","biología|genética",3-4 horas,2,0.2,4
550e8400-e29b-41d4-a716-446655440004,Ciencias Sociales,1,"Historia Universal","Comprende procesos históricos mundiales","Edad Media|Renacimiento|Revoluciones|Guerras mundiales",medium,"cronología|causas y efectos","historia|procesos",3-4 horas,2,0.25,4
550e8400-e29b-41d4-a716-446655440004,Ciencias Sociales,2,"Historia de Colombia","Conoce la historia nacional","Conquista|Independencia|República|Siglo XX",high,"procesos de independencia|violencia","historia nacional|identidad",4-5 horas,2,0.3,5
550e8400-e29b-41d4-a716-446655440004,Ciencias Sociales,3,"Geografía y Territorio","Analiza espacios geográficos","Geografía física|Población|Economía|Medio ambiente",medium,"ubicación espacial|recursos","geografía|territorio",3-4 horas,2,0.25,4
550e8400-e29b-41d4-a716-446655440004,Ciencias Sociales,4,"Filosofía y Pensamiento","Desarrolla pensamiento crítico","Filosofía antigua|Moderna|Ética|Lógica",low,"argumentación|pensamiento crítico","filosofía|ética",2-3 horas,3,0.2,3
550e8400-e29b-41d4-a716-446655440005,Inglés,1,"Grammar Fundamentals","Master basic English grammar","Verb tenses|Articles|Prepositions|Pronouns",high,"verb conjugation|sentence structure","grammar|basics",3-4 horas,1,0.3,4
550e8400-e29b-41d4-a716-446655440005,Inglés,2,"Reading Comprehension","Improve reading skills","Reading strategies|Vocabulary|Main ideas|Inference",high,"vocabulary|comprehension","reading|understanding",4-5 horas,2,0.35,5
550e8400-e29b-41d4-a716-446655440005,Inglés,3,"Communication Skills","Develop communication abilities","Speaking|Listening|Conversation|Pronunciation",medium,"oral expression|listening","communication|speaking",3-4 horas,2,0.25,4
550e8400-e29b-41d4-a716-446655440005,Inglés,4,"Writing and Culture","Learn writing and cultural aspects","Writing skills|Cultural context|Literature|Expressions",low,"written expression|culture","writing|culture",2-3 horas,3,0.1,3
