ID_Pregunta,Área_Evaluada,Competencia,Componente,Proceso_Cognitivo,Tipo_Conocimiento,Nivel_Dificultad,Afirmación,Evidencia,Pregunta,Respuesta_Correcta,Nivel_Desempeño_Esperado,Tiempo_Estimado,Tema_Específico,Grado_Escolar,Periodo_Aplicación,Opcion_A,Opcion_B,Opcion_C,Opcion_D,Requiere_Imagen,Imagen_Pregunta_URL,Imagen_Opcion_A_URL,Imagen_Opcion_B_URL,Imagen_Opcion_C_URL,Imagen_Opcion_D_URL,Area_Tematica,Puntos_XP,Pista_1,Pista_2,Pista_3,Explicación_Respuesta,Error_Común
1,Matemáticas,Interpretación y representación,Conocimientos genéricos,Interpretación,Genérico,2,Interpreta información presentada en diagramas y tablas,Identifica errores en procedimientos de conteo y cálculo,"Un sistema de transporte masivo tiene varias estaciones (E1, E2,…) sobre una avenida. En condiciones normales, de una estación a otra, un bus se demora 4 minutos, y en cada parada, 30 segundos. En la figura, los círculos sombreados representan las paradas de cada ruta (R1, R2,...). Un usuario que quiere ir de E1 a E10 en el menor tiempo, determinó, con base en la figura, que la ruta que más le convenía tomar era R2 y estimó el tiempo que tardaría viajando en el bus así: I. Contó la cantidad de tramos entre estaciones consecutivas que había en su recorrido: 10. II. Multiplicó el número obtenido en I (10) por la cantidad de minutos (4) que tardará entre dos estaciones consecutivas: 40 minutos. III. Al resultado anterior le sumó 30 segundos por la parada que hará en E6: 40,5 minutos. Este procedimiento es incorrecto en el(los) paso(s)",A,Mínimo,90,Sistemas de transporte y optimización,11,2024-02-01,Solo en I,Solo en II,Solo en III,En I y III,1,/mathimg/Math_1_1_Doc1.png,,,,,Aritmética y Operaciones Básicas,25,Cuenta los espacios entre estaciones, no las estaciones,Entre E1 y E10 hay exactamente 9 tramos,Revisa el paso I: ¿realmente hay 10 tramos?,Respuesta A. El error está solo en el paso I porque entre E1 y E10 hay 9 tramos
2,Matemáticas,Argumentación,Conocimientos genéricos,Argumentación,Genérico,2,Justifica la validez de afirmaciones usando propiedades matemáticas,Evalúa la validez de afirmaciones sobre porcentajes y proporciones,"Una persona que vive en Colombia tiene inversiones en dólares en Estados Unidos, y sabe que la tasa de cambio del dólar respecto al peso colombiano se mantendrá constante este mes, siendo 1 dólar equivalente a 2.000 pesos colombianos y que su inversión, en dólares, le dará ganancias del 3 % en el mismo periodo. Un amigo le asegura que en pesos sus ganancias también serán del 3 %. La afirmación de su amigo es",C,Satisfactorio,60,Porcentajes y tasas de cambio,11,2024-02-01,"incorrecta, porque las ganancias en pesos serán mayores al 3%","incorrecta, porque las ganancias en pesos serán menores al 3%","correcta, porque el porcentaje de ganancia es independiente de la moneda","correcta, porque la tasa de cambio se mantiene constante",0,,,,,,Aritmética y Operaciones Básicas,30,El porcentaje es una proporción, no un valor absoluto,Si tienes $100 y ganas 3%, tienes $103,Al convertir monedas
3,Matemáticas,Formulación y ejecución,Conocimientos genéricos,Proposición,Genérico,3,Formula estrategias para resolver problemas de optimización,Evalúa diferentes opciones para minimizar costos,"Las directivas de un colegio tienen que organizar un viaje a un museo con 140 estudiantes, quienes deben dividirse en 3 grupos. Cada grupo irá en una franja diferente, pero el costo total de las entradas se asumirá equitativamente por los estudiantes. En la tabla se muestran los horarios disponibles, la máxima cantidad de estudiantes y los precios respectivos de cada horario. Con el fin de que todos los estudiantes asistan y paguen el menor precio, las directivas eligieron las franjas 1, 3 y 4. ¿Esta elección garantiza que asistan todos los estudiantes al menor precio posible?",B,Satisfactorio,120,Optimización de recursos,11,2024-02-01,"Sí, porque el costo total es el mínimo posible","No, porque no caben todos los estudiantes en esas franjas","No, porque hay otra combinación con menor costo total","Sí, porque se aprovecha la capacidad máxima de cada franja",1,/mathimg/Math_3_1_Doc1.png,,,,,Problemas Aplicados y Análisis,40,Suma los costos de cada franja elegida,Verifica que 60+50+30 ≥ 140 estudiantes,Prueba otras combinaciones de 3 franjas,Respuesta B. No caben todos: franjas 1,3
4,Matemáticas,Interpretación y representación,Conocimientos genéricos,Interpretación,Genérico,2,Interpreta información presentada en tablas de costos,Determina rangos de valores a partir de información de costos totales,"Para capacitar en informática básica a los trabajadores de algunas dependencias de una empresa, se contrata una institución que ofrece un plan educativo de 4 módulos (ver tabla). La capacitación de cada módulo se hace con cursos de mínimo 20 y máximo 30 personas, de la misma dependencia. La empresa pagará $4.200.000 por capacitar a los trabajadores de la dependencia ""Insumos"" en el módulo I; esto quiere decir que la dependencia tiene entre",C,Mínimo,75,Interpretación de rangos,10,2024-02-01,20 y 25 trabajadores,26 y 30 trabajadores,21 y 28 trabajadores,20 y 30 trabajadores,1,/mathimg/Math_4_1_Doc1.png,,,,,Aritmética y Operaciones Básicas,30,4,200,000 ÷ $140,000/curso = 30 cursos,Cada curso tiene entre 20 y 30 personas
5,Matemáticas,Formulación y ejecución,Conocimientos genéricos,Interpretación,Genérico,1,Realiza cálculos básicos de división para determinar costos unitarios,Calcula valores unitarios a partir de totales,"Si se les cobrara a los 50 trabajadores de la dependencia ""Recursos Humanos"" la capacitación del módulo II, y todos pagaran el mismo valor, ¿cuánto debería pagar cada uno por esa capacitación?",B,Mínimo,45,División y costos unitarios,10,2024-02-01,$80.000,$160.000,$240.000,$320.000,0,,,,,,Aritmética y Operaciones Básicas,20,50 personas necesitan al menos 2 cursos,2 cursos del módulo II cuestan 2×$140,0,Divide el costo total entre 50 personas,Respuesta B. Necesitan 2 cursos (50÷30=1.67). Costo total: 2×$140
6,Matemáticas,Interpretación y representación,Conocimientos genéricos,Interpretación,Genérico,2,Relaciona información de costos con estructuras modulares,Identifica correspondencias entre valores y categorías,"La empresa paga $900.000 por la capacitación de los 40 funcionarios de la dependencia ""Importaciones"". De acuerdo con el valor pagado, la capacitación corresponde al módulo",D,Mínimo,60,Identificación de patrones en tablas,10,2024-02-01,I,II,III,IV,1,/mathimg/Math_6_1_Doc1.png,,,,,Aritmética y Operaciones Básicas,25,900,000 ÷ 40 personas = $22,500/persona,Busca qué módulo cuesta $22,500 por persona
7,Matemáticas,Argumentación,Conocimientos genéricos,Argumentación,Genérico,3,Evalúa la suficiencia de información para resolver problemas,Determina si la información disponible permite calcular porcentajes,"La figura muestra el número de muertes causadas por la obesidad y su porcentaje respecto al total de muertes por año, en cuatro países. En la tabla 1 se recoge la clasificación realizada por la Organización Mundial de la Salud (OMS) del estado nutricional, de acuerdo con el índice de masa corporal rangos del IMC para P2. Se necesita comparar la información sobre la obesidad con la información sobre muertes causadas por otra enfermedad en P3. Se sabe que en P3 el número de muertes por esa enfermedad al año es 1.700. Tomando este valor, multiplicándolo por cien y dividiéndolo entre el número total de muertes en P3, se obtiene el porcentaje de fallecimientos que causa esta enfermedad. Usando la información, ¿es posible determinar qué porcentaje de muertes en P3 ocurre debido a esta otra enfermedad?",B,Satisfactorio,90,Análisis de suficiencia de datos,11,2024-02-01,"Sí, porque se conoce el número total de muertes en P3","No, porque no se conoce el número total de muertes en P3","Sí, porque se puede calcular a partir del porcentaje de obesidad","No, porque falta información sobre la otra enfermedad",0,,,,,,Estadística y Probabilidad,45,Un porcentaje necesita numerador y denominador,Tienes las muertes por enfermedad (1,700) pero no el total,Sin el total de muertes, no puedes calcular 1
8,Matemáticas,Uso comprensivo del conocimiento científico,Componente biológico,Interpretación,No genérico,2,Aplica fórmulas científicas para clasificar estados de salud,Calcula el IMC y lo relaciona con categorías de salud,"El IMC de una persona se calcula dividiendo su peso (en kg) entre su estatura (en m) elevada al cuadrado. De un hombre de P2 que tiene 30 años de edad, pesa 75 kg y tiene una estatura de 3/2 m, puede afirmarse que forma parte del",D,Mínimo,60,Índice de masa corporal,11,2024-02-01,grupo con bajo peso,grupo con peso normal,grupo con sobrepeso,grupo con obesidad,0,,,,,,Aritmética y Operaciones Básicas,30,IMC = peso(kg)/[estatura(m)]²,Estatura: 3/2 m = 1.5 m,75 ÷ (1.5)² = 75 ÷ 2.25,Respuesta D. IMC = 75/(1.5)² = 75/2.25 = 33.33. Según la tabla OMS, IMC > 30 corresponde a obesidad
9,Matemáticas,Argumentación,Conocimientos genéricos,Argumentación,Genérico,3,Compara rentabilidad considerando múltiples variables,Evalúa afirmaciones sobre rentabilidad comercial,"Para transportar mango y banano desde un pueblo cercano a dos ciudades, W y Z, un comerciante utiliza tres (3) camiones con capacidad de 5 toneladas cada uno; por cada camión contrata dos trabajadores en cada viaje. El comerciante compra a $400.000 la tonelada de banano y a $500.000, la de mango. En la tabla se muestra el precio de venta por tonelada de cada producto y los gastos de transporte y de trabajadores para cada ciudad. Una persona afirma que para el comerciante es más rentable vender 6 toneladas de mango en la ciudad Z que en la ciudad W. La afirmación de esta persona es correcta, porque",C,Satisfactorio,120,Análisis de rentabilidad,11,2024-02-01,los gastos de transporte son menores en Z,el precio de venta es mayor en Z,la diferencia entre ingresos y gastos es mayor en Z,se necesitan menos trabajadores en Z,1,/mathimg/Math_9_1_Doc1.png,,,,,Problemas Aplicados y Análisis,40,Calcula ingresos: precio × cantidad,Calcula gastos: transporte + trabajadores,Ganancia = Ingresos - Todos los gastos,Respuesta C. La diferencia entre ingresos y gastos totales es mayor en Z ($3,500
10,Matemáticas,Formulación y ejecución,Conocimientos genéricos,Proposición,Genérico,3,Ejecuta procedimientos de múltiples pasos para calcular ganancias,Aplica algoritmos para determinar utilidades comerciales,"Los tres (3) camiones se cargan con 5 toneladas de banano cada uno para venderse en la ciudad W. El comerciante necesita conocer la ganancia al hacer este negocio, ejecutando el siguiente procedimiento: Paso 1. Halla el número de toneladas de banano que hay en los 3 camiones. Paso 2. Halla la diferencia entre el precio de venta de una tonelada de banano en la ciudad W y el precio de compra. Paso 3. Multiplica los valores hallados en los pasos 1 y 2. Paso 4. Encuentra los costos totales de transporte y le suma el pago total de los trabajadores en los tres viajes. Paso 5. Halla la diferencia entre el valor obtenido en el paso 3 y el paso 4. ¿Cuál es la ganancia que obtiene el comerciante?",C,Satisfactorio,150,Cálculo de utilidades,11,2024-02-01,$1.500.000,$2.100.000,$2.700.000,$3.300.000,0,,,,,,Aritmética y Operaciones Básicas,45,15 toneladas de banano en total,Ganancia por tonelada: $600,000-$400,0,No olvides restar todos los costos
