codigo_tema,area_evaluada,tema_principal,subtema,tema_especifico,competencia_icfes,componente,afirmacion,evidencia,grado_introduccion,prerequisitos,temas_relacionados,orden_secuencial,nivel_dificultad,importancia_icfes,frecuencia_evaluacion,horas_teoria,horas_practica,numero_ejercicios_recomendados,sesiones_refuerzo,recursos_teoria,recursos_practica,recursos_evaluacion,umbral_dominio,tiempo_retencion,indicadores_dominio,estilo_aprendizaje_optimo,metodologia_recomendada,tipo_evaluacion,estado
LC001,Lectura Crítica,Comprensión literal,Información explícita,Identificación de datos específicos en párrafos,Identificar y entender los contenidos locales que conforman un texto,Comprensión local,Identifica información puntual del texto,Localiza datos fechas nombres y cifras específicas,6°,{},{LC002;LC003},1,1,5,25.5,3,5,50,2,{videos explicativos de técnicas de escaneo;ejercicios de localización de información},{textos con preguntas literales;prácticas de subrayado dirigido},{preguntas tipo ICFES de información explícita},75.0,14,{localiza 8/10 datos específicos en 2 minutos;subraya información relevante automáticamente},visual,escaneo dirigido,selección múltiple,activo
LC002,Lectura Crítica,Comprensión literal,Ideas principales,Identificación del tema central de párrafos,Identificar y entender los contenidos locales que conforman un texto,Comprensión local,Identifica el tema o la idea principal de un párrafo,Distingue entre idea principal y detalles de apoyo,6°,{LC001},{LC004;LC005},2,1,5,22.3,4,6,60,3,{mapas conceptuales;técnicas de resumen},{párrafos con idea principal marcada;ejercicios de síntesis},{preguntas de tema central},80.0,21,{identifica tema en 4/5 párrafos;resume en una oración la idea principal},visual-kinestésico,inductivo,selección múltiple,activo
LC003,Lectura Crítica,Comprensión literal,Vocabulario en contexto,Significado de palabras según el contexto,Identificar y entender los contenidos locales que conforman un texto,Comprensión local,Identifica el significado de palabras a partir del contexto,Deduce el sentido de términos desconocidos usando pistas contextuales,7°,{LC001},{LC008;LC015},3,2,4,18.7,3,7,80,2,{estrategias de vocabulario contextual;diccionarios visuales},{textos con palabras marcadas;ejercicios de sinónimos contextuales},{preguntas de vocabulario en contexto},70.0,28,{deduce significado de 7/10 palabras nuevas;usa contexto antes que diccionario},visual,deductivo,selección múltiple,activo
LC004,Lectura Crítica,Estructura textual,Relaciones entre párrafos,Conexiones lógicas entre partes del texto,Comprender cómo se articulan las partes de un texto para darle un sentido global,Articulación textual,Identifica las relaciones entre las partes del texto,Reconoce cómo se conectan las ideas entre párrafos,8°,{LC002},{LC005;LC006},4,2,5,20.1,4,8,70,3,{conectores lógicos;mapas de flujo textual},{textos con conectores resaltados;ejercicios de secuencia lógica},{preguntas de relación entre párrafos},75.0,21,{identifica 4/5 conectores correctamente;explica relación entre párrafos},visual-lógico,analítico,selección múltiple,activo
LC005,Lectura Crítica,Estructura textual,Organización global,Estructura general del texto completo,Comprender cómo se articulan las partes de un texto para darle un sentido global,Articulación textual,Comprende la organización global del texto,Identifica introducción desarrollo y conclusión,8°,{LC002;LC004},{LC007;LC009},5,2,5,19.4,5,9,65,3,{esquemas de estructura textual;plantillas organizacionales},{textos con estructura marcada;ejercicios de organización},{preguntas de estructura global},80.0,28,{dibuja esquema estructural correcto;predice contenido por estructura},visual-espacial,sistémico,selección múltiple,activo
LC006,Lectura Crítica,Coherencia y cohesión,Conectores textuales,Uso y función de conectores lógicos,Comprender cómo se articulan las partes de un texto para darle un sentido global,Articulación textual,Identifica el uso de conectores y marcadores textuales,Reconoce la función de palabras de enlace entre ideas,9°,{LC004},{LC007;LC010},6,2,4,16.8,3,6,90,2,{lista de conectores por función;ejemplos de uso},{textos con conectores por completar;ejercicios de cohesión},{preguntas sobre función de conectores},70.0,35,{clasifica conectores por función;usa conectores apropiadamente},lógico-verbal,categórico,selección múltiple,activo
LC007,Lectura Crítica,Análisis crítico,Intención del autor,Propósito comunicativo del texto,Reflexionar a partir de un texto y evaluar su contenido,Reflexión crítica,Identifica la intención del autor,Reconoce el propósito comunicativo y la audiencia objetivo,9°,{LC005;LC006},{LC008;LC011},7,3,5,21.2,4,7,55,4,{análisis de propósito comunicativo;identificación de audiencia},{textos con intención marcada;ejercicios de análisis de propósito},{preguntas sobre intención del autor},75.0,21,{identifica propósito en 8/10 textos;justifica intención con evidencias},reflexivo,inferencial,selección múltiple,activo
LC008,Lectura Crítica,Análisis crítico,Evaluación de argumentos,Validez y solidez de argumentaciones,Reflexionar a partir de un texto y evaluar su contenido,Reflexión crítica,Evalúa la validez de los argumentos presentados,Distingue entre argumentos sólidos y débiles,10°,{LC003;LC007},{LC009;LC012},8,4,5,23.6,5,8,45,4,{tipos de argumentos;falacias lógicas comunes},{textos argumentativos analizados;ejercicios de evaluación crítica},{preguntas de evaluación argumentativa},80.0,14,{identifica 3/4 tipos de argumentos;detecta falacias básicas},analítico-crítico,evaluativo,selección múltiple,activo
LC009,Lectura Crítica,Tipos de texto,Textos narrativos,Características y elementos narrativos,Identificar y entender los contenidos locales que conforman un texto,Tipos textuales,Identifica elementos propios del texto narrativo,Reconoce narrador personajes tiempo espacio,7°,{LC002},{LC010;LC013},9,2,3,15.4,4,6,40,2,{elementos narrativos;tipos de narrador},{cuentos analizados;ejercicios de identificación narrativa},{preguntas sobre elementos narrativos},75.0,28,{identifica narrador y personajes;reconoce tiempo y espacio narrativo},imaginativo,analítico,selección múltiple,activo
LC010,Lectura Crítica,Tipos de texto,Textos expositivos,Estructura y características expositivas,Comprender cómo se articulan las partes de un texto para darle un sentido global,Tipos textuales,Identifica la estructura de textos expositivos,Reconoce definición clasificación comparación problema-solución,8°,{LC006;LC009},{LC011;LC014},10,2,4,18.9,3,7,50,3,{estructuras expositivas;marcadores textuales},{textos expositivos modelados;ejercicios de estructura},{preguntas sobre estructura expositiva},75.0,21,{identifica estructura expositiva;predice organización del contenido},lógico-secuencial,analítico,selección múltiple,activo
